genome,completeness,contamination
Broecker_Sample_ID29-1193-5_NODE_1033_length_6870_cov_5.203522.fasta,0,0
Broecker_Sample_ID29-1193-5_NODE_1277_length_5679_cov_2.197013.fasta,11.89,0
Broecker_Sample_ID29-1193-5_NODE_1429_length_5169_cov_3.948573.fasta,0,0
Broecker_Sample_ID29-1193-5_NODE_1484_length_5036_cov_2.584220.fasta,11.29,0
Broecker_Sample_ID29-1193-5_NODE_762_length_9004_cov_4.303609.fasta,18.71,0
Broecker_Sample_ID29-1193-5_NODE_873_length_8007_cov_5.648642.fasta,16.6,0
Broecker_Sample_ID29-1193-5_NODE_890_length_7843_cov_5.251284.fasta,18.88,0
Broecker_Sample_ID29-1194-0_NODE_1024_length_21161_cov_4.502985.fasta,45.97,0
Broecker_Sample_ID29-1194-0_NODE_1055_length_20643_cov_2.694385.fasta,39.42,0
Broecker_Sample_ID29-1194-0_NODE_1430_length_16271_cov_6.467070.fasta,46.96,0
Broecker_Sample_ID29-1194-0_NODE_1479_length_15641_cov_3.413448.fasta,21.78,0
Broecker_Sample_ID29-1194-0_NODE_1902_length_12391_cov_4.542234.fasta,20.65,37.83
Broecker_Sample_ID29-1194-0_NODE_2168_length_10568_cov_3.650243.fasta,21.44,0
Broecker_Sample_ID29-1194-0_NODE_2288_length_10017_cov_2.832564.fasta,27.78,0
Broecker_Sample_ID29-1194-0_NODE_2568_length_8777_cov_7.275854.fasta,0,0
Broecker_Sample_ID29-1194-0_NODE_2584_length_8714_cov_3.614043.fasta,0,0
Broecker_Sample_ID29-1194-0_NODE_2609_length_8616_cov_16.591987.fasta,18.75,0
Broecker_Sample_ID29-1194-0_NODE_2695_length_8292_cov_3.012140.fasta,10.3,0
Broecker_Sample_ID29-1194-0_NODE_288_length_50381_cov_4.132417.fasta,100,23.64
Broecker_Sample_ID29-1194-0_NODE_2985_length_7320_cov_19.219133.fasta,0,0
Broecker_Sample_ID29-1194-0_NODE_3028_length_7214_cov_4.458723.fasta,1.17,61.27
Broecker_Sample_ID29-1194-0_NODE_3045_length_7163_cov_2.176140.fasta,6.81,0
Broecker_Sample_ID29-1194-0_NODE_3113_length_6966_cov_2.092317.fasta,17.05,0
Broecker_Sample_ID29-1194-0_NODE_3221_length_6694_cov_2.923784.fasta,13.79,0
Broecker_Sample_ID29-1194-0_NODE_3257_length_6614_cov_3.241500.fasta,17.71,0
Broecker_Sample_ID29-1194-0_NODE_3263_length_6593_cov_1.762924.fasta,12.63,0
Broecker_Sample_ID29-1194-0_NODE_3537_length_5995_cov_2.090741.fasta,14.91,0
Broecker_Sample_ID29-1194-0_NODE_3737_length_5655_cov_2.687143.fasta,12.83,0
Broecker_Sample_ID29-1194-0_NODE_3831_length_5512_cov_2.249221.fasta,11.32,0
Broecker_Sample_ID29-1194-0_NODE_3875_length_5436_cov_2.047946.fasta,11.6,0
Broecker_Sample_ID29-1194-0_NODE_5989_length_3345_cov_3.456231.fasta,0,0
Broecker_Sample_ID29-1194-0_NODE_943_length_23011_cov_4.909261.fasta,37.33,0
Broecker_Sample_ID29-1194-6_NODE_446_length_12165_cov_1.679769.fasta,0,0
Chehoud_control_1_NODE_3_length_6477_cov_3.409063.fasta,15.62,0
Chehoud_control_1_NODE_4_length_5694_cov_913.928533.fasta,100,0
Chehoud_control_1_NODE_9_length_3014_cov_287.683001.fasta,77.24,0
Chehoud_control_2_NODE_1_length_48115_cov_27.751977.fasta,26.78,0
Chehoud_control_2_NODE_103_length_7131_cov_14.078434.fasta,17.26,0
Chehoud_control_2_NODE_107_length_6866_cov_20.761269.fasta,7.23,0
Chehoud_control_2_NODE_129_length_6176_cov_8.288025.fasta,10.55,0
Chehoud_control_2_NODE_13_length_26194_cov_19.574046.fasta,58.02,0
Chehoud_control_2_NODE_133_length_6122_cov_5.936542.fasta,15.51,0
Chehoud_control_2_NODE_138_length_5957_cov_6.923246.fasta,13.76,0
Chehoud_control_2_NODE_155_length_5500_cov_12.434343.fasta,10.44,0
Chehoud_control_2_NODE_158_length_5403_cov_12.149963.fasta,15.81,0
Chehoud_control_2_NODE_25_length_17868_cov_71.012463.fasta,45.25,0
Chehoud_control_2_NODE_39_length_13528_cov_48.255400.fasta,44.96,0
Chehoud_control_2_NODE_4_length_38026_cov_24.346449.fasta,100,0
Chehoud_control_2_NODE_5_length_37879_cov_21.391392.fasta,92.82,0
Chehoud_control_2_NODE_52_length_11083_cov_6.893090.fasta,28.55,0
Chehoud_control_2_NODE_63_length_10031_cov_24.182037.fasta,18.97,0
Chehoud_control_2_NODE_7_length_34120_cov_45.113283.fasta,99.13,0
Chehoud_control_2_NODE_73_length_9189_cov_5.848259.fasta,25.52,0
Chehoud_control_2_NODE_79_length_8397_cov_5.535363.fasta,20.48,0
Chehoud_control_2_NODE_8_length_33848_cov_101.073092.fasta,99.18,0
Chehoud_control_2_NODE_83_length_8257_cov_10.744940.fasta,9.37,0
Chehoud_control_2_NODE_96_length_7364_cov_9.208373.fasta,20.25,0
Chehoud_control_3_NODE_12_length_23094_cov_14.243153.fasta,57.43,0
Chehoud_control_3_NODE_13_length_22978_cov_9.929067.fasta,56.69,0
Chehoud_control_3_NODE_14_length_22485_cov_9.183683.fasta,64.46,0
Chehoud_control_3_NODE_25_length_11486_cov_8.708249.fasta,6.63,0
Chehoud_control_3_NODE_41_length_7101_cov_3.733608.fasta,4.05,0
Chehoud_control_3_NODE_46_length_6378_cov_6.603511.fasta,17.23,0
Chehoud_control_3_NODE_7_length_31207_cov_24.991429.fasta,54.14,0
Chehoud_donor_NODE_10_length_34366_cov_37.032089.fasta,100,0
Chehoud_donor_NODE_104_length_5897_cov_7.931017.fasta,4.69,0
Chehoud_donor_NODE_106_length_5855_cov_4070.194483.fasta,100,0
Chehoud_donor_NODE_109_length_5774_cov_8.922014.fasta,15.94,0
Chehoud_donor_NODE_119_length_5498_cov_4.564946.fasta,13.86,0
Chehoud_donor_NODE_127_length_5287_cov_5.145451.fasta,4.92,38.6
Chehoud_donor_NODE_131_length_5160_cov_46.989814.fasta,0,0
Chehoud_donor_NODE_18_length_24166_cov_10.367343.fasta,53.16,0
Chehoud_donor_NODE_23_length_19717_cov_29.588089.fasta,42.15,0
Chehoud_donor_NODE_24_length_19622_cov_13.283488.fasta,52.78,0
Chehoud_donor_NODE_36_length_15232_cov_65.875469.fasta,75.17,0
Chehoud_donor_NODE_37_length_14694_cov_6.201721.fasta,33.73,0
Chehoud_donor_NODE_39_length_12239_cov_14.796701.fasta,100,0
Chehoud_donor_NODE_4_length_41624_cov_12.198730.fasta,86.91,0
Chehoud_donor_NODE_415_length_2218_cov_12.171983.fasta,100,0
Chehoud_donor_NODE_418_length_2216_cov_128.819065.fasta,100,0
Chehoud_donor_NODE_45_length_10447_cov_10.418495.fasta,27.33,0
Chehoud_donor_NODE_46_length_10407_cov_5.036515.fasta,23.03,0
Chehoud_donor_NODE_5_length_40782_cov_41.940654.fasta,100,0
Chehoud_donor_NODE_50_length_10093_cov_15.899382.fasta,13.13,0
Chehoud_donor_NODE_59_length_8825_cov_5.425314.fasta,25.6,0
Chehoud_donor_NODE_6_length_40473_cov_156.131303.fasta,100,0
Chehoud_donor_NODE_81_length_6869_cov_4.249340.fasta,11.67,0
Chehoud_donor_NODE_82_length_6837_cov_4.718667.fasta,19.5,0
Chehoud_donor_NODE_86_length_6708_cov_7.903352.fasta,18.75,0
Chehoud_donor_NODE_96_length_6368_cov_33.117852.fasta,28.86,0
Chehoud_donor_NODE_99_length_6289_cov_6.003048.fasta,3.29,19.32
Chehoud_patient_1_NODE_13_length_14977_cov_5.522986.fasta,22.45,0
Chehoud_patient_1_NODE_14_length_14628_cov_22.650587.fasta,22.61,0
Chehoud_patient_1_NODE_20_length_9194_cov_9.344786.fasta,5.51,0
Chehoud_patient_1_NODE_28_length_6027_cov_424.722873.fasta,100,0
Chehoud_patient_1_NODE_3_length_43672_cov_1017.789921.fasta,78.76,0
Chehoud_patient_1_NODE_30_length_5700_cov_750.142427.fasta,100,0
Chehoud_patient_1_NODE_39_length_4395_cov_8.019124.fasta,0,0
Chehoud_patient_1_NODE_4_length_42455_cov_24.570825.fasta,100,0
Chehoud_patient_1_NODE_47_length_3745_cov_204.679133.fasta,0,0
Chehoud_patient_1_NODE_9_length_19233_cov_18.927990.fasta,11.54,0
Chehoud_patient_1_NODE_90_length_2246_cov_14.811502.fasta,100,0
Chehoud_patient_2_NODE_105_length_5453_cov_7.817155.fasta,100,0
Chehoud_patient_2_NODE_119_length_4758_cov_9.678503.fasta,100,0
Chehoud_patient_2_NODE_13_length_29569_cov_11.363489.fasta,71.2,0
Chehoud_patient_2_NODE_19_length_19315_cov_52.877259.fasta,50,0
Chehoud_patient_2_NODE_21_length_18365_cov_13.835445.fasta,33.24,0
Chehoud_patient_2_NODE_24_length_16877_cov_11.099215.fasta,39.33,0
Chehoud_patient_2_NODE_26_length_16553_cov_13.045581.fasta,40.89,0
Chehoud_patient_2_NODE_283_length_2248_cov_13.771546.fasta,100,0
Chehoud_patient_2_NODE_29_length_15626_cov_18.860381.fasta,79.11,0
Chehoud_patient_2_NODE_3_length_58127_cov_394.798836.fasta,78.42,0
Chehoud_patient_2_NODE_30_length_15603_cov_28.922627.fasta,40.48,0
Chehoud_patient_2_NODE_32_length_15279_cov_649.803731.fasta,38.16,0
Chehoud_patient_2_NODE_6_length_40366_cov_1166.857136.fasta,100,0
Chehoud_patient_2_NODE_61_length_9228_cov_11.637196.fasta,21.97,0
Chehoud_patient_2_NODE_90_length_6149_cov_974.406465.fasta,100,0
Chehoud_patient_3_NODE_102_length_5394_cov_5.574452.fasta,12.35,0
Chehoud_patient_3_NODE_104_length_5123_cov_4.731847.fasta,14.24,0
Chehoud_patient_3_NODE_16_length_38308_cov_25.585261.fasta,17.8,0
Chehoud_patient_3_NODE_17_length_36324_cov_34.638589.fasta,89.06,0
Chehoud_patient_3_NODE_18_length_35050_cov_17.304443.fasta,16.29,0
Chehoud_patient_3_NODE_248_length_2497_cov_5.020885.fasta,0,0
Chehoud_patient_3_NODE_33_length_17673_cov_8.583267.fasta,46.47,0
Chehoud_patient_3_NODE_35_length_15360_cov_11.209409.fasta,24.98,0
Chehoud_patient_3_NODE_44_length_12769_cov_7.490168.fasta,30.45,0
Chehoud_patient_3_NODE_45_length_12070_cov_7.039035.fasta,29.54,0
Chehoud_patient_3_NODE_48_length_11010_cov_5.831310.fasta,32.05,0
Chehoud_patient_3_NODE_68_length_8560_cov_8.026455.fasta,20.97,0
Chehoud_patient_3_NODE_7_length_46099_cov_41.014725.fasta,100,0
Chehoud_patient_3_NODE_70_length_7962_cov_6.603263.fasta,19.87,0
Chehoud_patient_3_NODE_74_length_7329_cov_16.243882.fasta,16.25,0
Chehoud_patient_3_NODE_89_length_5940_cov_6.879864.fasta,11.96,0
Chehoud_patient_3_NODE_94_length_5673_cov_5.696333.fasta,88.68,0
Draper_2018_SRR6914058_NODE_1_length_139957_cov_120.578927.fasta,100,0
Draper_2018_SRR6914058_NODE_104_length_5582_cov_11.978650.fasta,100,0
Draper_2018_SRR6914058_NODE_57_length_7467_cov_6.913788.fasta,16.41,0
Draper_2018_SRR6914059_NODE_11_length_40952_cov_71.621977.fasta,100,0
Draper_2018_SRR6914059_NODE_47_length_6615_cov_5.471951.fasta,31.74,0
Draper_2018_SRR6914059_NODE_52_length_6297_cov_7.183275.fasta,9.59,0
Draper_2018_SRR6914060_NODE_10_length_59478_cov_40.168756.fasta,100,0
Draper_2018_SRR6914060_NODE_112_length_5382_cov_6.710344.fasta,22.57,0
Draper_2018_SRR6914060_NODE_45_length_15361_cov_173.890892.fasta,66.3,0
Draper_2018_SRR6914061_NODE_11_length_40884_cov_66.920057.fasta,40.84,0
Draper_2018_SRR6914061_NODE_12_length_39362_cov_110.984227.fasta,87.19,0
Draper_2018_SRR6914061_NODE_26_length_19884_cov_27.936154.fasta,57,0
Draper_2018_SRR6914061_NODE_84_length_6022_cov_6.869281.fasta,100,0
Draper_2018_SRR6914062_NODE_102_length_7212_cov_11.296912.fasta,16.33,0
Draper_2018_SRR6914062_NODE_115_length_6529_cov_64.583719.fasta,100,0
Draper_2018_SRR6914062_NODE_20_length_24112_cov_28.146527.fasta,24.87,0
Draper_2018_SRR6914062_NODE_22_length_21766_cov_11.213302.fasta,51.87,0
Draper_2018_SRR6914062_NODE_34_length_15468_cov_41.411211.fasta,67.29,0
Draper_2018_SRR6914062_NODE_46_length_13394_cov_30.311118.fasta,41.33,0
Draper_2018_SRR6914062_NODE_54_length_12007_cov_10.111613.fasta,26.12,0
Draper_2018_SRR6914062_NODE_55_length_11997_cov_66.929744.fasta,100,0
Draper_2018_SRR6914062_NODE_60_length_11736_cov_19.502954.fasta,12.61,0
Draper_2018_SRR6914062_NODE_63_length_11647_cov_18.494048.fasta,37.91,0
Draper_2018_SRR6914062_NODE_75_length_9953_cov_23.552738.fasta,8.95,0
Draper_2018_SRR6914063_NODE_10_length_13087_cov_14573.479435.fasta,100,0
Draper_2018_SRR6914064_NODE_38_length_5898_cov_34.112442.fasta,100,0
Draper_2018_SRR6914064_NODE_53_length_4944_cov_67.080998.fasta,100,0
Draper_2018_SRR6914065_NODE_14_length_37670_cov_21.431716.fasta,98.12,0
Draper_2018_SRR6914065_NODE_52_length_7320_cov_6.848864.fasta,16.86,0
Draper_2018_SRR6914066_NODE_11_length_6114_cov_46.926225.fasta,100,0
Draper_2018_SRR6914067_NODE_1_length_121572_cov_249.822091.fasta,100,0
Draper_2018_SRR6914067_NODE_20_length_14345_cov_22.943737.fasta,63.99,0
Draper_2018_SRR6914067_NODE_21_length_13670_cov_42.848990.fasta,59.02,0
Draper_2018_SRR6914067_NODE_3_length_99308_cov_45.206362.fasta,99.65,0
Draper_2018_SRR6914067_NODE_6_length_65802_cov_361.031500.fasta,100,0
Draper_2018_SRR6914067_NODE_7_length_60889_cov_63.702929.fasta,100,0
Draper_2018_SRR6914068_NODE_1_length_60133_cov_72.581777.fasta,98.25,0
Draper_2018_SRR6914068_NODE_18_length_9983_cov_17.198529.fasta,16.73,0
Draper_2018_SRR6914068_NODE_2_length_59685_cov_257.101761.fasta,100,0
Draper_2018_SRR6914068_NODE_22_length_8951_cov_7.949978.fasta,21.93,0
Draper_2018_SRR6914068_NODE_36_length_7174_cov_666.326591.fasta,23.65,0
Draper_2018_SRR6914068_NODE_4_length_37075_cov_67.446029.fasta,92.57,0
Draper_2018_SRR6914068_NODE_6_length_27984_cov_1137.347524.fasta,97.19,0
Draper_2018_SRR6914069_NODE_29_length_6076_cov_11.755190.fasta,21.07,0
Draper_2018_SRR6914069_NODE_7_length_15771_cov_10.419191.fasta,13.14,0
Draper_2018_SRR6914070_NODE_35_length_5681_cov_31.728404.fasta,100,0
Draper_2018_SRR6914070_NODE_37_length_5087_cov_7.507154.fasta,100,0
Draper_2018_SRR6914071_NODE_27_length_6602_cov_45.368108.fasta,100,0
Draper_2018_SRR6914071_NODE_29_length_6486_cov_12.769398.fasta,6.16,0
Draper_2018_SRR6914072_NODE_12_length_17840_cov_15.221647.fasta,38.1,0
Draper_2018_SRR6914072_NODE_14_length_14424_cov_13.771174.fasta,38.76,0
Draper_2018_SRR6914072_NODE_15_length_12114_cov_9.772286.fasta,25.24,0
Draper_2018_SRR6914072_NODE_5_length_40167_cov_84.427927.fasta,100,0
Draper_2018_SRR6914072_NODE_6_length_39975_cov_2208.713552.fasta,100,0
Draper_2018_SRR6914072_NODE_7_length_39171_cov_311.778479.fasta,100,0
Draper_2018_SRR6914073_NODE_1_length_134112_cov_64.074737.fasta,100,0
Draper_2018_SRR6914073_NODE_26_length_5875_cov_110.872680.fasta,100,0
Draper_2018_SRR6914073_NODE_27_length_5673_cov_1913.362585.fasta,0,0
Draper_2018_SRR6914073_NODE_4_length_26720_cov_23.044065.fasta,44.75,0
Draper_2018_SRR6914073_NODE_8_length_16507_cov_337.696207.fasta,69.93,0
Draper_2018_SRR6914074_NODE_10_length_12176_cov_1004.509776.fasta,100,0
Draper_2018_SRR6914075_NODE_12_length_5969_cov_981.804870.fasta,100,0
Draper_2018_SRR6914076_NODE_34_length_9711_cov_50.491508.fasta,100,0
Draper_2018_SRR6914076_NODE_7_length_43601_cov_88.508106.fasta,50.61,0
Draper_2018_SRR6914076_NODE_79_length_6168_cov_37.187306.fasta,100,0
Draper_2018_SRR6914076_NODE_83_length_5961_cov_34.479174.fasta,100,0
Draper_2018_SRR6914078_NODE_18_length_5995_cov_5.095623.fasta,100,0
Draper_2018_SRR6914078_NODE_3_length_57727_cov_12.078478.fasta,100,0
Draper_2018_SRR6914079_NODE_105_length_5851_cov_32.591960.fasta,100,0
Draper_2018_SRR6914079_NODE_109_length_5741_cov_191.025325.fasta,0,0
Draper_2018_SRR6914079_NODE_122_length_5326_cov_27.669702.fasta,0,0
Draper_2018_SRR6914079_NODE_127_length_5047_cov_4.875601.fasta,3.97,0
Draper_2018_SRR6914079_NODE_136_length_4706_cov_842.443776.fasta,100,0
Draper_2018_SRR6914079_NODE_32_length_14158_cov_192.995216.fasta,47.65,0
Draper_2018_SRR6914079_NODE_49_length_10376_cov_7.459548.fasta,8.73,0
Draper_2018_SRR6914079_NODE_5_length_53010_cov_62.354603.fasta,92.52,0
Draper_2018_SRR6914079_NODE_75_length_7843_cov_14.900488.fasta,3.06,0
Draper_2018_SRR6914079_NODE_76_length_7836_cov_9.746177.fasta,32.64,0
Draper_2018_SRR6914079_NODE_8_length_42030_cov_16.711852.fasta,35.22,0
Draper_2018_SRR6914081_NODE_10_length_26192_cov_11.133718.fasta,22.08,0
Draper_2018_SRR6914081_NODE_11_length_25443_cov_9.052269.fasta,38.76,0
Draper_2018_SRR6914081_NODE_2_length_89575_cov_42.398872.fasta,96.69,0
Draper_2018_SRR6914081_NODE_43_length_6306_cov_9.685970.fasta,100,0
Draper_2018_SRR6914081_NODE_49_length_5623_cov_13.178341.fasta,100,0
Draper_2018_SRR6914082_NODE_64_length_6365_cov_53.009192.fasta,100,0
Draper_2018_SRR6914082_NODE_9_length_45095_cov_90.000289.fasta,100,0
Draper_2018_SRR6914084_NODE_34_length_8328_cov_52.708933.fasta,100,0
Draper_2018_SRR6914084_NODE_57_length_5934_cov_506.709815.fasta,100,0
Draper_2018_SRR6914084_NODE_59_length_5858_cov_78.402206.fasta,100,0
Draper_2018_SRR6914084_NODE_63_length_5385_cov_97.757598.fasta,100,0
Draper_2018_SRR6914084_NODE_69_length_5006_cov_24.095132.fasta,100,0
Draper_2018_SRR6914085_NODE_1_length_49175_cov_169.251669.fasta,100,0
Draper_2018_SRR6914085_NODE_18_length_6432_cov_7.405990.fasta,12.24,0
Draper_2018_SRR6914085_NODE_2_length_33080_cov_44.302468.fasta,83.74,0
Draper_2018_SRR6914085_NODE_21_length_6241_cov_7.131426.fasta,13.35,0
Draper_2018_SRR6914085_NODE_24_length_5633_cov_7.301721.fasta,11.68,0
Draper_2018_SRR6914085_NODE_3_length_31447_cov_9.735665.fasta,85.63,0
Draper_2018_SRR6914085_NODE_33_length_5085_cov_9.483499.fasta,11.71,0
Draper_2018_SRR6914085_NODE_4_length_14533_cov_12.705277.fasta,40,0
Draper_2018_SRR6914085_NODE_6_length_12018_cov_7.598345.fasta,15.63,0
Draper_2018_SRR6914085_NODE_7_length_11728_cov_10.311060.fasta,24.03,0
Draper_2018_SRR6914086_NODE_34_length_5087_cov_807.848370.fasta,100,0
Draper_2018_SRR6914086_NODE_5_length_35746_cov_30.944720.fasta,34.11,0
Draper_2018_SRR6914088_NODE_42_length_5526_cov_5.269055.fasta,2.97,54.6
Draper_2018_SRR6914089_NODE_1_length_38794_cov_6399.329719.fasta,97.59,0
Draper_2018_SRR6914089_NODE_36_length_5499_cov_10.516899.fasta,0,0
Draper_2018_SRR6914089_NODE_9_length_16020_cov_15.002192.fasta,25.12,0
Draper_2018_SRR6914090_NODE_15_length_10641_cov_632.932458.fasta,100,0
Draper_2018_SRR6914090_NODE_22_length_6476_cov_6.692571.fasta,20.64,0
Draper_2018_SRR6914090_NODE_26_length_6053_cov_147.623875.fasta,100,0
Draper_2018_SRR6914090_NODE_32_length_5090_cov_827.880040.fasta,100,0
Draper_2018_SRR6914091_NODE_100_length_4711_cov_6.193943.fasta,100,0
Draper_2018_SRR6914091_NODE_14_length_37921_cov_39.019622.fasta,64.2,0
Draper_2018_SRR6914091_NODE_27_length_14327_cov_107.550589.fasta,14.45,0
Draper_2018_SRR6914091_NODE_3_length_114044_cov_112.462132.fasta,100,0
Draper_2018_SRR6914091_NODE_41_length_9267_cov_9.183456.fasta,20.43,0
Draper_2018_SRR6914091_NODE_69_length_6112_cov_11.487370.fasta,0,0
Draper_2018_SRR6914091_NODE_70_length_6107_cov_4833.169035.fasta,100,0
Draper_2018_SRR6914091_NODE_72_length_6011_cov_250.310779.fasta,100,0
Draper_2018_SRR6914091_NODE_8_length_72007_cov_43.536385.fasta,100,0
Draper_2018_SRR6914091_NODE_9_length_61572_cov_74.981062.fasta,100,0
Draper_2018_SRR6914093_NODE_1_length_114491_cov_121.176142.fasta,100,0
Draper_2018_SRR6914093_NODE_10_length_41655_cov_79.615553.fasta,92.44,0
Draper_2018_SRR6914093_NODE_11_length_38965_cov_586.791750.fasta,95.32,0
Draper_2018_SRR6914093_NODE_12_length_28201_cov_26.702125.fasta,16.27,0
Draper_2018_SRR6914093_NODE_7_length_58348_cov_52.504863.fasta,100,0
Draper_2018_SRR6914094_NODE_18_length_18171_cov_55.328218.fasta,74.99,0
Draper_2018_SRR6914094_NODE_82_length_5828_cov_268.635198.fasta,98.39,0
Draper_2018_SRR6914094_NODE_83_length_5739_cov_64.135116.fasta,97.01,0
Draper_2018_SRR6914094_NODE_86_length_5637_cov_8.004479.fasta,6.57,0
Draper_2018_SRR6914094_NODE_87_length_5630_cov_385.981883.fasta,100,0
Draper_2018_SRR6914095_NODE_40_length_5525_cov_9.174040.fasta,5.19,0
Draper_2018_SRR6914095_NODE_41_length_5426_cov_7.596723.fasta,0,0
Draper_2018_SRR6914096_NODE_1_length_101386_cov_119.228114.fasta,100,0
Draper_2018_SRR6914096_NODE_16_length_13965_cov_147.521783.fasta,62.88,0
Draper_2018_SRR6914096_NODE_31_length_7606_cov_6.187128.fasta,19.8,0
Draper_2018_SRR6914098_NODE_11_length_35373_cov_50.030438.fasta,68.44,0
Draper_2018_SRR6914098_NODE_30_length_11383_cov_13.237288.fasta,6.78,0
Draper_2018_SRR6914098_NODE_51_length_7772_cov_6.837372.fasta,4.67,0
Draper_2018_SRR6914098_NODE_80_length_5902_cov_9.266461.fasta,3.61,0
Draper_2018_SRR6914098_NODE_95_length_5325_cov_11.454080.fasta,100,0
Draper_2018_SRR6914098_NODE_96_length_5196_cov_7.046684.fasta,3.12,0
Draper_2018_SRR6914099_NODE_30_length_6046_cov_999.130529.fasta,100,0
Draper_2018_SRR6914099_NODE_4_length_21783_cov_18.022045.fasta,71.76,0
Draper_2018_SRR6914100_NODE_3_length_13831_cov_14468.469004.fasta,100,0
Draper_2018_SRR6914100_NODE_8_length_11579_cov_6.206550.fasta,100,0
Draper_2018_SRR6914102_NODE_14_length_6550_cov_5.081755.fasta,100,0
