"","Accession","bac.host","total.ParS.hits","pos.ParS.hit"
"98","AF176030","Actinomycetota",0,0
"99","AF176031","Actinomycetota",0,0
"100","AF176032","Actinomycetota",0,0
"101","AF176033","Actinomycetota",0,0
"102","AF176034","Actinomycetota",0,0
"103","AF189021","Actinomycetota",0,0
"104","AF195902","Pseudomonadota",0,0
"105","AF217253","Actinomycetota",0,0
"106","AF232233","Actinomycetota",0,0
"107","AF234172","Actinomycetota",0,0
"108","AF234173","Actinomycetota",0,0
"109","AF242738","Pseudomonadota",0,0
"110","AF271693","Pseudomonadota",0,0
"111","AF299300","Actinomycetota",0,0
"112","AF299301","Actinomycetota",0,0
"113","AF299302","Actinomycetota",0,0
"114","AF299303","Actinomycetota",0,0
"115","AF299304","Actinomycetota",0,0
"116","AF299305","Actinomycetota",0,0
"117","AF299306","Actinomycetota",0,0
"118","AF299307","Actinomycetota",0,0
"119","AF299308","Actinomycetota",0,0
"120","AF299309","Actinomycetota",0,0
"121","AF299310","Actinomycetota",0,0
"122","AF299311","Actinomycetota",0,0
"123","AF299312","Actinomycetota",0,0
"124","AF299313","Actinomycetota",0,0
"125","AF299314","Actinomycetota",0,0
"126","AF304433","Pseudomonadota",0,0
"127","AF306496","Pseudomonadota",0,0
"128","AF320576","Actinomycetota",0,0
"129","AF323668","Pseudomonadota",0,0
"130","AF323669","Pseudomonadota",0,0
"131","AF323670","Pseudomonadota",0,0
"132","AF323671","Pseudomonadota",0,0
"133","AF323672","Pseudomonadota",0,0
"134","AF323673","Pseudomonadota",0,0
"135","AF334111","Actinomycetota",0,0
"136","AF338467","Pseudomonadota",0,0
"137","AF349457","Pseudomonadota",0,0
"138","AF396866","Pseudomonadota",0,0
"139","AF399011","Actinomycetota",0,0
"140","AF424781","Pseudomonadota",0,0
"141","AF424782","Pseudomonadota",0,0
"142","AF424783","Pseudomonadota",0,0
"143","AF428260","Pseudomonadota",0,0
"144","AF447491","Actinomycetota",0,0
"145","AF448724","Actinomycetota",0,0
"146","AF452449","Actinomycetota",0,0
"147","AF453500","Actinomycetota",0,0
"148","AF454431","Actinomycetota",0,0
"149","AF489521","Pseudomonadota",0,0
"150","AF493143","Actinomycetota",0,0
"151","AF513032","Pseudomonadota",0,0
"152","AF513033","Pseudomonadota",0,0
"153","AF527608","Actinomycetota",0,0
"154","AF543311","Actinomycetota",0,0
"155","AF547430","Pseudomonadota",0,0
"156","AJ131519","Pseudomonadota",0,0
"157","AJ242593","Pseudomonadota",0,0
"158","AJ251789","Pseudomonadota",0,0
"159","AJ251805","Actinomycetota",0,0
"160","AJ270057","Pseudomonadota",0,0
"161","AJ278322","Pseudomonadota",0,0
"162","AJ302074","Pseudomonadota",0,0
"163","AJ312240","Pseudomonadota",0,0
"164","AJ421943","Pseudomonadota",0,0
"165","AJ505558","Actinomycetota",0,0
"166","AJ550635","Pseudomonadota",0,0
"167","AJ560763","Actinomycetota",0,0
"168","AJ564013","Actinomycetota",0,0
"169","AJ609634","Pseudomonadota",0,0
"170","AJ630128","Pseudomonadota",0,0
"171","AJ697969","Actinomycetota",0,0
"172","AJ842011","Pseudomonadota",0,0
"173","AJ972879","Actinomycetota",0,0
"174","AM076770","Actinomycetota",0,0
"175","AM084414","Actinomycetota",0,0
"176","AM084415","Actinomycetota",0,0
"177","AM156909","Actinomycetota",0,0
"178","AM183667","Actinomycetota",0,0
"179","AM265638","Actinomycetota",0,0
"180","AM265639","Actinomycetota",0,0
"181","AM491472","Actinomycetota",0,0
"182","AM749121","Pseudomonadota",0,0
"183","AM749441","Actinomycetota",0,0
"184","AM910651","Actinomycetota",0,0
"185","AP001553","Pseudomonadota",0,0
"186","AP005153","Actinomycetota",0,0
"187","AP005154","Actinomycetota",0,0
"188","AP008953","Pseudomonadota",0,0
"189","AP008954","Pseudomonadota",0,0
"190","AP008979","Actinomycetota",0,0
"191","AP008983","Pseudomonadota",0,0
"192","AP008986","Actinomycetota",0,0
"193","AP009146","Actinomycetota",0,0
"194","AP009363","Pseudomonadota",0,0
"195","AP009624","Actinomycetota",0,0
"196","AP011113","Actinomycetota",0,0
"197","AP011616","Pseudomonadota",0,0
"198","AP011617","Pseudomonadota",0,0
"199","AP011956","Pseudomonadota",0,0
"200","AP012341","Pseudomonadota",0,0
"201","AP013029","Pseudomonadota",0,0
"202","AP013057","Actinomycetota",0,0
"203","AP014629","Actinomycetota",0,0
"204","AP014684","Actinomycetota",0,0
"205","AP014693","Actinomycetota",0,0
"206","AP014714","Actinomycetota",0,0
"207","AP014715","Actinomycetota",0,0
"208","AP014858","Actinomycetota",0,0
"209","AP014887","Actinomycetota",0,0
"210","AP014888","Actinomycetota",0,0
"211","AP014889","Actinomycetota",0,0
"212","AP014927","Actinomycetota",0,0
"213","AP017903","Pseudomonadota",0,0
"214","AP017924","Actinomycetota",0,0
"215","AP017925","Actinomycetota",0,0
"216","AP017972","Actinomycetota",0,0
"217","AP018361","Pseudomonadota",0,0
"218","AP018375","Pseudomonadota",0,0
"219","AP018399","Actinomycetota",0,0
"220","AP018462","Pseudomonadota",0,0
"221","AP018463","Pseudomonadota",0,0
"222","AP018469","Pseudomonadota",0,0
"223","AP018470","Pseudomonadota",0,0
"224","AP018471","Pseudomonadota",0,0
"225","AP018476","Pseudomonadota",0,0
"226","AP018477","Pseudomonadota",0,0
"227","AP018478","Pseudomonadota",0,0
"228","AP018479","Pseudomonadota",0,0
"229","AP018485","Pseudomonadota",0,0
"230","AP018486","Pseudomonadota",0,0
"231","AP018487","Pseudomonadota",0,0
"232","AP018714","Pseudomonadota",0,0
"233","AP018715","Pseudomonadota",0,0
"234","AP018813","Actinomycetota",0,0
"235","AP018815","Actinomycetota",0,0
"236","AP018932","Actinomycetota",0,0
"237","AP019415","Actinomycetota",0,0
"238","AP019417","Actinomycetota",0,0
"239","AP019418","Actinomycetota",0,0
"240","AP019521","Actinomycetota",0,0
"241","AP019522","Pseudomonadota",0,0
"242","AP019524","Pseudomonadota",0,0
"243","AP019525","Pseudomonadota",0,0
"244","AP019527","Pseudomonadota",0,0
"245","AP019535","Actinomycetota",0,0
"246","AP019559","Actinomycetota",0,0
"247","AP019560","Pseudomonadota",0,0
"248","AP019561","Pseudomonadota",0,0
"249","AP019562","Pseudomonadota",0,0
"250","AY007505","Pseudomonadota",0,0
"251","AY027935","Actinomycetota",0,0
"252","AY029185","Actinomycetota",0,0
"253","AY052766","Actinomycetota",0,0
"254","AY055382","Actinomycetota",0,0
"255","AY078382","Actinomycetota",0,0
"256","AY082070","Pseudomonadota",0,0
"257","AY095314","Actinomycetota",0,0
"258","AY129330","Pseudomonadota",0,0
"259","AY129331","Pseudomonadota",0,0
"260","AY129332","Pseudomonadota",0,0
"261","AY129333","Pseudomonadota",0,0
"262","AY129334","Pseudomonadota",0,0
"263","AY129335","Pseudomonadota",0,0
"264","AY129336","Pseudomonadota",0,0
"265","AY129337","Pseudomonadota",0,0
"266","AY129338","Pseudomonadota",0,0
"267","AY129339","Pseudomonadota",0,0
"268","AY131267","Pseudomonadota",0,0
"269","AY133112","Actinomycetota",0,0
"270","AY135486","Actinomycetota",0,0
"271","AY135739","Actinomycetota",0,0
"272","AY150271","Actinomycetota",0,0
"273","AY212251","Pseudomonadota",0,0
"274","AY216660","Actinomycetota",0,0
"275","AY236756","Pseudomonadota",0,0
"276","AY242528","Actinomycetota",0,0
"277","AY247822","Actinomycetota",0,0
"278","AY251033","Actinomycetota",0,0
"279","AY264774","Actinomycetota",0,0
"280","AY264775","Actinomycetota",0,0
"281","AY264776","Actinomycetota",0,0
"282","AY264777","Actinomycetota",0,0
"283","AY264778","Actinomycetota",0,0
"284","AY266303","Actinomycetota",0,0
"285","AY283928","Actinomycetota",0,0
"286","AY288927","Actinomycetota",0,0
"287","AY299121","Actinomycetota",0,0
"288","AY303349","Actinomycetota",0,0
"289","AY308796","Actinomycetota",0,0
"290","AY319521","Actinomycetota",0,0
"291","AY320035","Pseudomonadota",0,0
"292","AY328852","Actinomycetota",0,0
"293","AY328853","Actinomycetota",0,0
"294","AY343333","Actinomycetota",0,0
"295","AY349011","Actinomycetota",0,0
"296","AY357582","Actinomycetota",0,0
"297","AY368235","Actinomycetota",0,0
"298","AY369265","Actinomycetota",0,0
"299","AY370673","Actinomycetota",0,0
"300","AY370674","Actinomycetota",0,0
"301","AY374414","Actinomycetota",0,0
"302","AY374448","Actinomycetota",0,0
"303","AY375531","Actinomycetota",0,0
"304","AY394005","Actinomycetota",0,0
"305","AY453853","Actinomycetota",0,0
"306","AY459533","Pseudomonadota",0,0
"307","AY459535","Pseudomonadota",0,0
"308","AY500152","Pseudomonadota",0,0
"309","AY500153","Pseudomonadota",0,0
"310","AY505112","Actinomycetota",0,0
"311","AY508486","Pseudomonadota",0,0
"312","AY510084","Actinomycetota",0,0
"313","AY526908","Actinomycetota",0,0
"314","AY526909","Actinomycetota",0,0
"315","AY539836","Actinomycetota",0,0
"316","AY543070","Actinomycetota",0,0
"317","AY575774","Actinomycetota",0,0
"318","AY576796","Pseudomonadota",0,0
"319","AY587007","Actinomycetota",0,0
"320","AY605066","Pseudomonadota",0,0
"321","AY605181","Actinomycetota",0,0
"322","AY616033","Actinomycetota",0,0
"323","AY616446","Pseudomonadota",0,0
"324","AY625898","Actinomycetota",0,0
"325","AY682195","Pseudomonadota",0,0
"326","AY692264","Actinomycetota",0,0
"327","AY699705","Pseudomonadota",0,0
"328","AY701338","Pseudomonadota",0,0
"329","AY714348","Actinomycetota",0,0
"330","AY730274","Actinomycetota",0,0
"331","AY739900","Pseudomonadota",0,0
"332","AY766464","Pseudomonadota",0,0
"333","AY769964","Pseudomonadota",0,0
"334","AY855346","Pseudomonadota",0,0
"335","AY894696","Pseudomonadota",0,0
"336","AY939843","Pseudomonadota",0,0
"337","AY939844","Pseudomonadota",0,0
"338","AY940168","Pseudomonadota",0,0
"339","AY954948","Pseudomonadota",0,0
"340","AY954949","Pseudomonadota",0,0
"341","AY954950","Pseudomonadota",0,0
"342","AY954951","Pseudomonadota",0,0
"343","AY954952","Pseudomonadota",0,0
"344","AY954953","Pseudomonadota",0,0
"345","AY954954","Pseudomonadota",0,0
"346","AY954955","Pseudomonadota",0,0
"347","AY954956","Pseudomonadota",0,0
"348","AY954957","Pseudomonadota",0,0
"349","AY954958","Pseudomonadota",0,0
"350","AY954959","Pseudomonadota",0,0
"351","AY954960","Pseudomonadota",0,0
"352","AY954961","Pseudomonadota",0,0
"353","AY954962","Pseudomonadota",0,0
"354","AY954963","Pseudomonadota",0,0
"355","AY954964","Pseudomonadota",0,0
"356","AY954965","Pseudomonadota",0,0
"357","AY954966","Pseudomonadota",0,0
"358","AY954967","Pseudomonadota",0,0
"359","AY954968","Pseudomonadota",0,0
"360","AY962392","Actinomycetota",0,0
"361","AY967407","Actinomycetota",0,0
"362","AY986977","Actinomycetota",0,0
"363","B1U32222","Actinomycetota",0,0
"364","B2U02303","Actinomycetota",0,0
"365","B4PORFSX","Pseudomonadota",0,0
"366","BHU24159","Actinomycetota",0,0
"367","BK000583","Actinomycetota",0,0
"368","BK010646","Pseudomonadota",0,0
"369","BK013347","Pseudomonadota",0,0
"370","BK061308","Pseudomonadota",0,0
"371","BK061309","Pseudomonadota",0,0
"372","BK061310","Pseudomonadota",0,0
"373","BK061311","Pseudomonadota",0,0
"374","BK061312","Pseudomonadota",0,0
"375","BK061475","Actinomycetota",0,0
"376","BK061476","Actinomycetota",0,0
"377","BK061477","Actinomycetota",0,0
"378","BK061478","Actinomycetota",0,0
"379","BK061479","Actinomycetota",0,0
"380","BK061480","Actinomycetota",0,0
"381","BK061585","Actinomycetota",0,0
"382","BK061586","Actinomycetota",0,0
"383","BK061587","Actinomycetota",0,0
"384","BK061588","Actinomycetota",0,0
"385","BK061589","Actinomycetota",0,0
"386","BK061590","Actinomycetota",0,0
"387","BK061591","Actinomycetota",0,0
"388","BK062760","Actinomycetota",0,0
"389","BL5GENM","Pseudomonadota",0,0
"390","BX571876","Pseudomonadota",0,0
"391","C2PVCG","Pseudomonadota",0,0
"392","CAJCJZ010000002","Pseudomonadota",0,0
"393","CAJDJX010000002","Pseudomonadota",0,0
"394","CAJDJY010000002","Pseudomonadota",0,0
"395","CAJDJZ010000002","Pseudomonadota",0,0
"396","CAJDKA010000002","Pseudomonadota",0,0
"397","CAJDKB010000002","Pseudomonadota",0,0
"398","CAJDKF010000002","Pseudomonadota",0,0
"399","CAKLQA020000001","Actinomycetota",0,0
"400","CAKLQA020000002","Actinomycetota",0,0
"401","CAKLQA020000003","Actinomycetota",0,0
"402","CAKLQB020000001","Actinomycetota",0,0
"403","CAKLQB020000002","Actinomycetota",0,0
"404","CAKLQC020000001","Actinomycetota",0,0
"405","CAKLQD020000001","Actinomycetota",0,0
"406","CAKLQE020000001","Actinomycetota",0,0
"407","CAKLQF020000022","Actinomycetota",0,0
"408","CAKLQF020000023","Actinomycetota",0,0
"409","CAKLQF020000027","Actinomycetota",0,0
"410","CAKLQF020000037","Actinomycetota",0,0
"411","CAKLQG020000001","Actinomycetota",0,0
"412","CAKLQH020000015","Actinomycetota",0,0
"413","CAKLQH020000019","Actinomycetota",0,0
"414","CAKLQH020000038","Actinomycetota",0,0
"415","CAKLQH020000047","Actinomycetota",0,0
"416","CAKLQH020000048","Actinomycetota",0,0
"417","CAKLQH020000049","Actinomycetota",0,0
"418","CAKLQH020000051","Actinomycetota",0,0
"419","CAKLQH020000053","Actinomycetota",0,0
"420","CAKLQH020000058","Actinomycetota",0,0
"421","CAKLQH020000060","Actinomycetota",0,0
"422","CAKLQH020000063","Actinomycetota",0,0
"423","CAWVNJ020000002","Actinomycetota",0,0
"424","CMU41758","Pseudomonadota",0,0
"425","CP000315","Pseudomonadota",0,0
"426","CP000622","Actinomycetota",0,0
"427","CP000623","Actinomycetota",0,0
"428","CP000624","Actinomycetota",0,0
"429","CP000625","Actinomycetota",0,0
"430","CP000917","Actinomycetota",0,0
"431","CP002495","Pseudomonadota",0,0
"432","CP002889","Pseudomonadota",0,0
"433","CP003186","Pseudomonadota",0,0
"434","CP004084","Actinomycetota",0,0
"435","CP008753","Actinomycetota",0,0
"436","CP011103","Pseudomonadota",0,0
"437","CP013282","Pseudomonadota",0,0
"438","CP013974","Actinomycetota",0,0
"439","CP017905","Actinomycetota",0,0
"440","CP017906","Actinomycetota",0,0
"441","CP018841","Pseudomonadota",0,0
"442","CP019719","Pseudomonadota",0,0
"443","CP025874","Actinomycetota",0,0
"444","CP025900","Actinomycetota",0,0
"445","CP025901","Actinomycetota",0,0
"446","CP025902","Actinomycetota",0,0
"447","CP025907","Actinomycetota",0,0
"448","CP025923","Actinomycetota",0,0
"449","CP027117","Pseudomonadota",0,0
"450","CP038007","Actinomycetota",0,0
"451","CP045566","Actinomycetota",0,0
"452","CP050061","Pseudomonadota",0,0
"453","CP051272","Actinomycetota",0,0
"454","CP051275","Actinomycetota",0,0
"455","CP051278","Actinomycetota",0,0
"456","CP051279","Actinomycetota",0,0
"457","CP051285","Actinomycetota",0,0
"458","CP051288","Actinomycetota",0,0
"459","CP052843","Pseudomonadota",0,0
"460","CP053388","Actinomycetota",0,0
"461","CP054387","Actinomycetota",0,0
"462","CP058330","Actinomycetota",0,0
"463","CP058906","Pseudomonadota",0,0
"464","CP059058","Actinomycetota",0,0
"465","CP060690","Actinomycetota",0,0
"466","CP062422","Pseudomonadota",0,0
"467","CP062426","Pseudomonadota",0,0
"468","CP062427","Pseudomonadota",0,0
"469","CP062430","Pseudomonadota",0,0
"470","CP062434","Pseudomonadota",0,0
"471","CP062435","Pseudomonadota",0,0
"472","CP062436","Pseudomonadota",0,0
"473","CP062442","Pseudomonadota",0,0
"474","CP062447","Pseudomonadota",0,0
"475","CP062451","Pseudomonadota",0,0
"476","CP062454","Pseudomonadota",0,0
"477","CP062457","Pseudomonadota",0,0
"478","CP062461","Pseudomonadota",0,0
"479","CP062462","Pseudomonadota",0,0
"480","CP062992","Actinomycetota",0,0
"481","CP063417","Pseudomonadota",0,0
"482","CP063964","Pseudomonadota",0,0
"483","CP063968","Pseudomonadota",0,0
"484","CP067347","Pseudomonadota",0,0
"485","CP067352","Pseudomonadota",0,0
"486","CP069347","Pseudomonadota",0,0
"487","CP069348","Pseudomonadota",0,0
"488","CP071049","Pseudomonadota",0,0
"489","CP072507","Actinomycetota",0,0
"490","CP084202","Pseudomonadota",0,0
"491","CP101890","Actinomycetota",0,0
"492","CP101896","Actinomycetota",0,0
"493","CP103806","Pseudomonadota",0,0
"494","CP103976","Pseudomonadota",0,0
"495","CP111102","Actinomycetota",0,0
"496","CP115603","Actinomycetota",0,0
"497","CP115737","Actinomycetota",0,0
"498","CP124119","Actinomycetota",0,0
"499","CP124927","Pseudomonadota",0,0
"500","CP124934","Pseudomonadota",0,0
"501","CP124941","Pseudomonadota",0,0
"502","CP124955","Pseudomonadota",0,0
"503","CP124962","Pseudomonadota",0,0
"504","CU468217","Actinomycetota",0,0
"505","DQ003260","Actinomycetota",0,0
"506","DQ003637","Pseudomonadota",0,0
"507","DQ003638","Pseudomonadota",0,0
"508","DQ003639","Pseudomonadota",0,0
"509","DQ003640","Pseudomonadota",0,0
"510","DQ003641","Pseudomonadota",0,0
"511","DQ003642","Pseudomonadota",0,0
"512","DQ029335","Actinomycetota",0,0
"513","DQ054536","Pseudomonadota",0,0
"514","DQ079869","Actinomycetota",0,0
"515","DQ079870","Actinomycetota",0,0
"516","DQ079871","Actinomycetota",0,0
"517","DQ079872","Actinomycetota",0,0
"518","DQ079874","Actinomycetota",0,0
"519","DQ079875","Actinomycetota",0,0
"520","DQ079876","Actinomycetota",0,0
"521","DQ079877","Actinomycetota",0,0
"522","DQ079879","Actinomycetota",0,0
"523","DQ085810","Actinomycetota",0,0
"524","DQ087285","Actinomycetota",0,0
"525","DQ111067","Actinomycetota",0,0
"526","DQ114220","Actinomycetota",0,0
"527","DQ121662","Actinomycetota",0,0
"528","DQ123818","Pseudomonadota",0,0
"529","DQ126339","Actinomycetota",0,0
"530","DQ149023","Pseudomonadota",0,0
"531","DQ150593","Pseudomonadota",0,0
"532","DQ163912","Actinomycetota",0,0
"533","DQ163913","Actinomycetota",0,0
"534","DQ163914","Actinomycetota",0,0
"535","DQ163915","Actinomycetota",0,0
"536","DQ163916","Actinomycetota",0,0
"537","DQ163917","Actinomycetota",0,0
"538","DQ203855","Actinomycetota",0,0
"539","DQ222853","Pseudomonadota",0,0
"540","DQ222855","Pseudomonadota",0,0
"541","DQ227763","Pseudomonadota",0,0
"542","DQ227764","Pseudomonadota",0,0
"543","DQ289555","Pseudomonadota",0,0
"544","DQ289556","Pseudomonadota",0,0
"545","DQ320509","Pseudomonadota",0,0
"546","DQ340064","Pseudomonadota",0,0
"547","DQ372923","Pseudomonadota",0,0
"548","DQ386162","Pseudomonadota",0,0
"549","DQ394806","Pseudomonadota",0,0
"550","DQ394807","Pseudomonadota",0,0
"551","DQ394808","Pseudomonadota",0,0
"552","DQ394809","Pseudomonadota",0,0
"553","DQ394810","Pseudomonadota",0,0
"554","DQ398041","Pseudomonadota",0,0
"555","DQ398042","Pseudomonadota",0,0
"556","DQ398043","Pseudomonadota",0,0
"557","DQ398044","Pseudomonadota",0,0
"558","DQ398045","Pseudomonadota",0,0
"559","DQ398046","Pseudomonadota",0,0
"560","DQ398047","Pseudomonadota",0,0
"561","DQ398048","Pseudomonadota",0,0
"562","DQ398049","Pseudomonadota",0,0
"563","DQ398050","Pseudomonadota",0,0
"564","DQ398051","Pseudomonadota",0,0
"565","DQ398052","Pseudomonadota",0,0
"566","DQ398053","Pseudomonadota",0,0
"567","DQ426904","Actinomycetota",0,0
"568","DQ426905","Actinomycetota",0,0
"569","DQ431235","Pseudomonadota",0,0
"570","DQ453159","Pseudomonadota",0,0
"571","DQ466086","Pseudomonadota",0,0
"572","DQ490056","Pseudomonadota",0,0
"573","DQ499600","Pseudomonadota",0,0
"574","DQ500118","Actinomycetota",0,0
"575","DQ517338","Pseudomonadota",0,0
"576","DQ529280","Actinomycetota",0,0
"577","DQ530359","Pseudomonadota",0,0
"578","DQ530360","Pseudomonadota",0,0
"579","DQ530362","Pseudomonadota",0,0
"580","DQ535032","Pseudomonadota",0,0
"581","DQ631426","Actinomycetota",0,0
"582","DQ674738","Actinomycetota",0,0
"583","DQ777876","Actinomycetota",0,0
"584","DQ785801","Actinomycetota",0,0
"585","DQ831957","Pseudomonadota",0,0
"586","DQ832317","Actinomycetota",0,0
"587","DQ834250","Pseudomonadota",0,0
"588","DQ836063","Actinomycetota",0,0
"589","DQ838728","Pseudomonadota",0,0
"590","DQ840344","Pseudomonadota",0,0
"591","DQ864624","Pseudomonadota",0,0
"592","DQ873690","Actinomycetota",0,0
"593","DQ904452","Actinomycetota",0,0
"594","DQ908929","Pseudomonadota",0,0
"595","DQ997624","Pseudomonadota",0,0
"596","EF056009","Actinomycetota",0,0
"597","EF057797","Actinomycetota",0,0
"598","EF108465","Actinomycetota",0,0
"599","EF116926","Pseudomonadota",0,0
"600","EF153632","Actinomycetota",0,0
"601","EF160123","Actinomycetota",0,0
"602","EF177456","Actinomycetota",0,0
"603","EF204939","Actinomycetota",0,0
"604","EF204940","Actinomycetota",0,0
"605","EF207558","Pseudomonadota",0,0
"606","EF372997","Pseudomonadota",0,0
"607","EF380009","Actinomycetota",0,0
"608","EF380010","Actinomycetota",0,0
"609","EF380011","Actinomycetota",0,0
"610","EF380012","Actinomycetota",0,0
"611","EF380013","Actinomycetota",0,0
"612","EF380014","Actinomycetota",0,0
"613","EF380015","Actinomycetota",0,0
"614","EF380016","Actinomycetota",0,0
"615","EF380017","Actinomycetota",0,0
"616","EF380018","Actinomycetota",0,0
"617","EF380019","Actinomycetota",0,0
"618","EF380020","Actinomycetota",0,0
"619","EF380021","Actinomycetota",0,0
"620","EF380022","Actinomycetota",0,0
"621","EF380023","Actinomycetota",0,0
"622","EF380024","Actinomycetota",0,0
"623","EF380025","Actinomycetota",0,0
"624","EF380026","Actinomycetota",0,0
"625","EF380027","Actinomycetota",0,0
"626","EF380028","Actinomycetota",0,0
"627","EF380029","Actinomycetota",0,0
"628","EF380030","Actinomycetota",0,0
"629","EF380031","Actinomycetota",0,0
"630","EF380032","Actinomycetota",0,0
"631","EF437941","Actinomycetota",0,0
"632","EF455602","Pseudomonadota",0,0
"633","EF460875","Actinomycetota",0,0
"634","EF462197","Pseudomonadota",0,0
"635","EF462198","Pseudomonadota",0,0
"636","EF462199","Pseudomonadota",0,0
"637","EF469154","Actinomycetota",0,0
"638","EF523948","Actinomycetota",0,0
"639","EF529515","Pseudomonadota",0,0
"640","EF536069","Pseudomonadota",0,0
"641","EF579802","Pseudomonadota",0,0
"642","EF583821","Pseudomonadota",0,0
"643","EF602154","Actinomycetota",0,0
"644","EU056923","Actinomycetota",0,0
"645","EU078592","Actinomycetota",0,0
"646","EU081845","Pseudomonadota",0,0
"647","EU100883","Pseudomonadota",0,0
"648","EU100884","Pseudomonadota",0,0
"649","EU124666","Actinomycetota",0,0
"650","EU136189","Pseudomonadota",0,0
"651","EU197055","Actinomycetota",0,0
"652","EU203571","Pseudomonadota",0,0
"653","EU236438","Actinomycetota",0,0
"654","EU246945","Pseudomonadota",0,0
"655","EU272036","Actinomycetota",0,0
"656","EU272037","Actinomycetota",0,0
"657","EU307292","Actinomycetota",0,0
"658","EU311208","Actinomycetota",0,0
"659","EU330206","Actinomycetota",0,0
"660","EU340421","Pseudomonadota",0,0
"661","EU399241","Actinomycetota",0,0
"662","EU408779","Pseudomonadota",0,0
"663","EU409559","Pseudomonadota",0,0
"664","EU418428","Pseudomonadota",0,0
"665","EU438902","Pseudomonadota",0,0
"666","EU547803","Actinomycetota",0,0
