genome,threshold,cluster_method,comparison_algorithm,greedy_representative,primary_cluster,original_secondary_cluster,secondary_cluster
AP013029.fna,0.005,greedy,fastANI,True,0,0_166,0_166
AP018361.fna,0.005,greedy,fastANI,True,0,0_1733,0_1733
AP018375.fna,0.005,greedy,fastANI,True,0,0_383,0_383
AP018714.fna,0.005,greedy,fastANI,True,0,0_311,0_311
AP018715.fna,0.005,greedy,fastANI,True,0,0_318,0_318
AP019522.fna,0.005,greedy,fastANI,True,0,0_512,0_512
AP019527.fna,0.005,greedy,fastANI,True,0,0_697,0_697
AP019560.fna,0.005,greedy,fastANI,True,0,0_1491,0_1491
AP019561.fna,0.005,greedy,fastANI,True,0,0_1406,0_1406
AP019562.fna,0.005,greedy,fastANI,True,0,0_1541,0_1541
AY007505.fna,0.005,greedy,fastANI,True,0,0_2106,0_2106
AY082070.fna,0.005,greedy,fastANI,True,0,0_2206,0_2206
AY131267.fna,0.005,greedy,fastANI,True,0,0_1943,0_1943
AY176327.fna,0.005,greedy,fastANI,False,0,0_247,0_247
AY212251.fna,0.005,greedy,fastANI,True,0,0_2756,0_2756
AY236756.fna,0.005,greedy,fastANI,True,0,0_1917,0_1917
AY257527.fna,0.005,greedy,fastANI,False,0,0_2774,0_2774
AY459533.fna,0.005,greedy,fastANI,True,0,0_1737,0_1737
AY459535.fna,0.005,greedy,fastANI,True,0,0_1535,0_1535
AY508486.fna,0.005,greedy,fastANI,True,0,0_1323,0_1323
AY605066.fna,0.005,greedy,fastANI,True,0,0_1653,0_1653
AY616446.fna,0.005,greedy,fastANI,True,0,0_1414,0_1414
AY657002.fna,0.005,greedy,fastANI,False,0,0_702,0_702
AY682195.fna,0.005,greedy,fastANI,True,0,0_519,0_519
AY699705.fna,0.005,greedy,fastANI,True,0,0_2104,0_2104
AY701338.fna,0.005,greedy,fastANI,True,0,0_2778,0_2778
AY739900.fna,0.005,greedy,fastANI,True,0,0_2340,0_2340
AY766464.fna,0.005,greedy,fastANI,True,0,0_1281,0_1281
AY855346.fna,0.005,greedy,fastANI,True,0,0_824,0_824
AY894696.fna,0.005,greedy,fastANI,True,0,0_2765,0_2765
AY954948.fna,0.005,greedy,fastANI,True,0,0_2766,0_2766
AY954949.fna,0.005,greedy,fastANI,True,0,0_2687,0_2687
AY954950.fna,0.005,greedy,fastANI,True,0,0_1607,0_1607
AY954951.fna,0.005,greedy,fastANI,True,0,0_1213,0_1213
AY954952.fna,0.005,greedy,fastANI,True,0,0_1074,0_1074
AY954953.fna,0.005,greedy,fastANI,True,0,0_1052,0_1052
AY954954.fna,0.005,greedy,fastANI,True,0,0_1377,0_1377
AY954955.fna,0.005,greedy,fastANI,True,0,0_958,0_958
AY954956.fna,0.005,greedy,fastANI,True,0,0_1169,0_1169
AY954957.fna,0.005,greedy,fastANI,True,0,0_1022,0_1022
AY954958.fna,0.005,greedy,fastANI,True,0,0_1093,0_1093
AY954959.fna,0.005,greedy,fastANI,True,0,0_989,0_989
AY954960.fna,0.005,greedy,fastANI,True,0,0_1104,0_1104
AY954961.fna,0.005,greedy,fastANI,True,0,0_1154,0_1154
AY954962.fna,0.005,greedy,fastANI,True,0,0_1166,0_1166
AY954963.fna,0.005,greedy,fastANI,True,0,0_1305,0_1305
AY954964.fna,0.005,greedy,fastANI,True,0,0_1206,0_1206
AY954965.fna,0.005,greedy,fastANI,True,0,0_1326,0_1326
AY954966.fna,0.005,greedy,fastANI,True,0,0_1146,0_1146
AY954967.fna,0.005,greedy,fastANI,True,0,0_1246,0_1246
AY954968.fna,0.005,greedy,fastANI,True,0,0_1123,0_1123
AY954969.fna,0.005,greedy,fastANI,False,0,0_269,0_269
AY954970.fna,0.005,greedy,fastANI,False,0,0_415,0_415
B4PORFSX.fna,0.005,greedy,fastANI,True,0,0_2802,0_2802
C2PVCG.fna,0.005,greedy,fastANI,True,0,0_2554,0_2554
CAJCJZ010000002.fna,0.005,greedy,fastANI,True,0,0_614,0_614
CAJDJX010000002.fna,0.005,greedy,fastANI,True,0,0_1274,0_1274
CAJDJY010000002.fna,0.005,greedy,fastANI,True,0,0_378,0_378
CAJDJZ010000002.fna,0.005,greedy,fastANI,True,0,0_343,0_343
CAJDKA010000002.fna,0.005,greedy,fastANI,True,0,0_215,0_215
CAJDKB010000002.fna,0.005,greedy,fastANI,True,0,0_1488,0_1488
CAJDKF010000002.fna,0.005,greedy,fastANI,True,0,0_1321,0_1321
CP000315.fna,0.005,greedy,fastANI,True,0,0_1772,0_1772
CP002495.fna,0.005,greedy,fastANI,True,0,0_2390,0_2390
CP002889.fna,0.005,greedy,fastANI,True,0,0_1466,0_1466
CP003186.fna,0.005,greedy,fastANI,True,0,0_1298,0_1298
CP011103.fna,0.005,greedy,fastANI,True,0,0_1302,0_1302
CP011970.fna,0.005,greedy,fastANI,False,0,0_517,0_517
CP013282.fna,0.005,greedy,fastANI,True,0,0_2774,0_2774
CP018841.fna,0.005,greedy,fastANI,True,0,0_2653,0_2653
CP019719.fna,0.005,greedy,fastANI,True,0,0_971,0_971
CP027117.fna,0.005,greedy,fastANI,True,0,0_553,0_553
CP050061.fna,0.005,greedy,fastANI,True,0,0_704,0_704
CP052843.fna,0.005,greedy,fastANI,True,0,0_2306,0_2306
CP062422.fna,0.005,greedy,fastANI,True,0,0_1115,0_1115
CP062426.fna,0.005,greedy,fastANI,True,0,0_1347,0_1347
CP062427.fna,0.005,greedy,fastANI,True,0,0_1173,0_1173
CP062430.fna,0.005,greedy,fastANI,True,0,0_1015,0_1015
CP062434.fna,0.005,greedy,fastANI,False,0,0_1038,0_1038
CP062435.fna,0.005,greedy,fastANI,True,0,0_1652,0_1652
CP062436.fna,0.005,greedy,fastANI,True,0,0_1076,0_1076
CP062442.fna,0.005,greedy,fastANI,True,0,0_984,0_984
CP062444.fna,0.005,greedy,fastANI,True,0,0_1038,0_1038
CP062445.fna,0.005,greedy,fastANI,False,0,0_1652,0_1652
CP062447.fna,0.005,greedy,fastANI,True,0,0_1071,0_1071
CP062451.fna,0.005,greedy,fastANI,True,0,0_1150,0_1150
CP062454.fna,0.005,greedy,fastANI,True,0,0_1233,0_1233
CP062457.fna,0.005,greedy,fastANI,True,0,0_1547,0_1547
CP062461.fna,0.005,greedy,fastANI,True,0,0_964,0_964
CP062462.fna,0.005,greedy,fastANI,True,0,0_1200,0_1200
CP063417.fna,0.005,greedy,fastANI,True,0,0_791,0_791
CP063964.fna,0.005,greedy,fastANI,True,0,0_2058,0_2058
CP063968.fna,0.005,greedy,fastANI,True,0,0_843,0_843
CP067347.fna,0.005,greedy,fastANI,True,0,0_504,0_504
CP067352.fna,0.005,greedy,fastANI,True,0,0_557,0_557
CP069347.fna,0.005,greedy,fastANI,True,0,0_2150,0_2150
CP069348.fna,0.005,greedy,fastANI,True,0,0_508,0_508
CP071049.fna,0.005,greedy,fastANI,True,0,0_1238,0_1238
CP091911.fna,0.005,greedy,fastANI,False,0,0_2454,0_2454
CP103806.fna,0.005,greedy,fastANI,True,0,0_2071,0_2071
CP103976.fna,0.005,greedy,fastANI,True,0,0_676,0_676
CP124927.fna,0.005,greedy,fastANI,True,0,0_1968,0_1968
CP124930.fna,0.005,greedy,fastANI,True,0,0_2454,0_2454
CP124934.fna,0.005,greedy,fastANI,False,0,0_2454,0_2454
CP124938.fna,0.005,greedy,fastANI,False,0,0_2454,0_2454
CP124941.fna,0.005,greedy,fastANI,True,0,0_2394,0_2394
CP124942.fna,0.005,greedy,fastANI,False,0,0_2454,0_2454
CP124949.fna,0.005,greedy,fastANI,False,0,0_2454,0_2454
CP124952.fna,0.005,greedy,fastANI,False,0,0_2454,0_2454
CP124955.fna,0.005,greedy,fastANI,True,0,0_2392,0_2392
CP124959.fna,0.005,greedy,fastANI,False,0,0_2454,0_2454
CP124962.fna,0.005,greedy,fastANI,True,0,0_2420,0_2420
DQ003637.fna,0.005,greedy,fastANI,True,0,0_1681,0_1681
DQ003638.fna,0.005,greedy,fastANI,True,0,0_453,0_453
DQ003639.fna,0.005,greedy,fastANI,True,0,0_1223,0_1223
DQ003640.fna,0.005,greedy,fastANI,True,0,0_905,0_905
DQ003641.fna,0.005,greedy,fastANI,True,0,0_2006,0_2006
DQ003642.fna,0.005,greedy,fastANI,True,0,0_1767,0_1767
DQ004855.fna,0.005,greedy,fastANI,False,0,0_487,0_487
DQ054536.fna,0.005,greedy,fastANI,True,0,0_2465,0_2465
DQ113772.fna,0.005,greedy,fastANI,False,0,0_1525,0_1525
DQ150593.fna,0.005,greedy,fastANI,True,0,0_1788,0_1788
DQ222851.fna,0.005,greedy,fastANI,False,0,0_1863,0_1863
DQ222853.fna,0.005,greedy,fastANI,True,0,0_1863,0_1863
DQ222855.fna,0.005,greedy,fastANI,True,0,0_1775,0_1775
DQ227763.fna,0.005,greedy,fastANI,True,0,0_2389,0_2389
DQ227764.fna,0.005,greedy,fastANI,True,0,0_2486,0_2486
DQ289555.fna,0.005,greedy,fastANI,True,0,0_1451,0_1451
DQ289556.fna,0.005,greedy,fastANI,True,0,0_1851,0_1851
DQ320509.fna,0.005,greedy,fastANI,True,0,0_1756,0_1756
DQ340064.fna,0.005,greedy,fastANI,True,0,0_2107,0_2107
DQ386162.fna,0.005,greedy,fastANI,True,0,0_2377,0_2377
DQ394806.fna,0.005,greedy,fastANI,True,0,0_1879,0_1879
DQ394807.fna,0.005,greedy,fastANI,True,0,0_2027,0_2027
DQ394808.fna,0.005,greedy,fastANI,True,0,0_1986,0_1986
DQ394809.fna,0.005,greedy,fastANI,True,0,0_2090,0_2090
DQ394810.fna,0.005,greedy,fastANI,True,0,0_2193,0_2193
DQ453159.fna,0.005,greedy,fastANI,True,0,0_1452,0_1452
DQ466086.fna,0.005,greedy,fastANI,True,0,0_763,0_763
DQ490056.fna,0.005,greedy,fastANI,True,0,0_2503,0_2503
DQ517338.fna,0.005,greedy,fastANI,True,0,0_1077,0_1077
DQ530359.fna,0.005,greedy,fastANI,True,0,0_1164,0_1164
DQ530360.fna,0.005,greedy,fastANI,True,0,0_1158,0_1158
DQ530361.fna,0.005,greedy,fastANI,False,0,0_551,0_551
DQ530362.fna,0.005,greedy,fastANI,True,0,0_1151,0_1151
DQ535032.fna,0.005,greedy,fastANI,True,0,0_632,0_632
DQ831957.fna,0.005,greedy,fastANI,True,0,0_1127,0_1127
DQ834250.fna,0.005,greedy,fastANI,True,0,0_1065,0_1065
DQ838728.fna,0.005,greedy,fastANI,True,0,0_2197,0_2197
DQ840344.fna,0.005,greedy,fastANI,True,0,0_2076,0_2076
DQ864624.fna,0.005,greedy,fastANI,True,0,0_1489,0_1489
DQ908929.fna,0.005,greedy,fastANI,True,0,0_1275,0_1275
EF116926.fna,0.005,greedy,fastANI,True,0,0_1983,0_1983
EF207558.fna,0.005,greedy,fastANI,True,0,0_1723,0_1723
EF455602.fna,0.005,greedy,fastANI,True,0,0_2108,0_2108
EF462197.fna,0.005,greedy,fastANI,True,0,0_1265,0_1265
EF462198.fna,0.005,greedy,fastANI,True,0,0_915,0_915
EF462199.fna,0.005,greedy,fastANI,True,0,0_1183,0_1183
EF529515.fna,0.005,greedy,fastANI,True,0,0_2033,0_2033
EF583821.fna,0.005,greedy,fastANI,True,0,0_22,0_22
EU081845.fna,0.005,greedy,fastANI,True,0,0_787,0_787
EU136189.fna,0.005,greedy,fastANI,True,0,0_2707,0_2707
EU221285.fna,0.005,greedy,fastANI,False,0,0_2425,0_2425
EU246945.fna,0.005,greedy,fastANI,True,0,0_1565,0_1565
EU340421.fna,0.005,greedy,fastANI,True,0,0_2307,0_2307
EU408779.fna,0.005,greedy,fastANI,True,0,0_2785,0_2785
EU409559.fna,0.005,greedy,fastANI,True,0,0_880,0_880
EU418428.fna,0.005,greedy,fastANI,True,0,0_281,0_281
EU438902.fna,0.005,greedy,fastANI,True,0,0_2647,0_2647
EU588980.fna,0.005,greedy,fastANI,True,0,0_1694,0_1694
EU622808.fna,0.005,greedy,fastANI,True,0,0_2649,0_2649
EU719189.fna,0.005,greedy,fastANI,True,0,0_852,0_852
EU771092.fna,0.005,greedy,fastANI,True,0,0_2627,0_2627
EU855793.fna,0.005,greedy,fastANI,True,0,0_2022,0_2022
EU861004.fna,0.005,greedy,fastANI,True,0,0_1234,0_1234
EU861005.fna,0.005,greedy,fastANI,True,0,0_986,0_986
EU871039.fna,0.005,greedy,fastANI,True,0,0_1676,0_1676
EU874396.fna,0.005,greedy,fastANI,True,0,0_828,0_828
EU887664.fna,0.005,greedy,fastANI,True,0,0_1836,0_1836
FJ226752.fna,0.005,greedy,fastANI,True,0,0_2037,0_2037
FJ230960.fna,0.005,greedy,fastANI,True,0,0_506,0_506
FJ236310.fna,0.005,greedy,fastANI,True,0,0_2091,0_2091
FJ429185.fna,0.005,greedy,fastANI,True,0,0_693,0_693
FJ713816.fna,0.005,greedy,fastANI,True,0,0_1041,0_1041
FJ792813.fna,0.005,greedy,fastANI,True,0,0_2604,0_2604
FJ822135.fna,0.005,greedy,fastANI,True,0,0_345,0_345
FJ848881.fna,0.005,greedy,fastANI,True,0,0_2475,0_2475
FJ848882.fna,0.005,greedy,fastANI,True,0,0_2285,0_2285
FJ848883.fna,0.005,greedy,fastANI,True,0,0_2432,0_2432
FJ848884.fna,0.005,greedy,fastANI,True,0,0_2464,0_2464
FJ848885.fna,0.005,greedy,fastANI,False,0,0_2464,0_2464
FJ965538.fna,0.005,greedy,fastANI,True,0,0_1873,0_1873
FM163528.fna,0.005,greedy,fastANI,True,0,0_1656,0_1656
FM864213.fna,0.005,greedy,fastANI,True,0,0_728,0_728
FN391954.fna,0.005,greedy,fastANI,True,0,0_2332,0_2332
FN997652.fna,0.005,greedy,fastANI,True,0,0_675,0_675
FR671405.fna,0.005,greedy,fastANI,True,0,0_1877,0_1877
FR671406.fna,0.005,greedy,fastANI,True,0,0_1545,0_1545
FR671407.fna,0.005,greedy,fastANI,True,0,0_1820,0_1820
FR671408.fna,0.005,greedy,fastANI,True,0,0_2294,0_2294
FR671409.fna,0.005,greedy,fastANI,True,0,0_2262,0_2262
FR671410.fna,0.005,greedy,fastANI,True,0,0_1998,0_1998
FR671411.fna,0.005,greedy,fastANI,True,0,0_1963,0_1963
FR852584.fna,0.005,greedy,fastANI,False,0,0_269,0_269
GQ398772.fna,0.005,greedy,fastANI,True,0,0_1464,0_1464
GQ403788.fna,0.005,greedy,fastANI,True,0,0_1896,0_1896
GQ443085.fna,0.005,greedy,fastANI,False,0,0_1610,0_1610
GQ451696.fna,0.005,greedy,fastANI,True,0,0_2431,0_2431
GQ452243.fna,0.005,greedy,fastANI,True,0,0_1205,0_1205
GQ478081.fna,0.005,greedy,fastANI,True,0,0_1693,0_1693
GQ478082.fna,0.005,greedy,fastANI,True,0,0_1670,0_1670
GQ478083.fna,0.005,greedy,fastANI,False,0,0_1693,0_1693
GQ478084.fna,0.005,greedy,fastANI,False,0,0_1904,0_1904
GQ478085.fna,0.005,greedy,fastANI,True,0,0_1904,0_1904
GQ478086.fna,0.005,greedy,fastANI,True,0,0_1613,0_1613
GQ478087.fna,0.005,greedy,fastANI,True,0,0_1522,0_1522
GQ478088.fna,0.005,greedy,fastANI,True,0,0_1803,0_1803
GQ900512.fna,0.005,greedy,fastANI,True,0,0_2799,0_2799
GQ915271.fna,0.005,greedy,fastANI,True,0,0_2493,0_2493
GQ979703.fna,0.005,greedy,fastANI,False,0,0_2253,0_2253
GU169904.fna,0.005,greedy,fastANI,True,0,0_260,0_260
GU229986.fna,0.005,greedy,fastANI,True,0,0_766,0_766
GU233956.fna,0.005,greedy,fastANI,True,0,0_1662,0_1662
GU323708.fna,0.005,greedy,fastANI,True,0,0_2247,0_2247
GU477322.fna,0.005,greedy,fastANI,True,0,0_1391,0_1391
GU815339.fna,0.005,greedy,fastANI,True,0,0_2748,0_2748
GU949551.fna,0.005,greedy,fastANI,True,0,0_1816,0_1816
GU967410.fna,0.005,greedy,fastANI,True,0,0_903,0_903
HE614281.fna,0.005,greedy,fastANI,False,0,0_1188,0_1188
HE614282.fna,0.005,greedy,fastANI,True,0,0_1188,0_1188
HE861935.fna,0.005,greedy,fastANI,True,0,0_972,0_972
HE956704.fna,0.005,greedy,fastANI,True,0,0_1929,0_1929
HE962497.fna,0.005,greedy,fastANI,True,0,0_725,0_725
HF563658.fna,0.005,greedy,fastANI,True,0,0_1850,0_1850
HF937074.fna,0.005,greedy,fastANI,True,0,0_2723,0_2723
HG380752.fna,0.005,greedy,fastANI,True,0,0_1317,0_1317
HG424323.fna,0.005,greedy,fastANI,True,0,0_890,0_890
HG531805.fna,0.005,greedy,fastANI,True,0,0_815,0_815
HG796225.fna,0.005,greedy,fastANI,True,0,0_2200,0_2200
HG798901.fna,0.005,greedy,fastANI,False,0,0_2200,0_2200
HG799490.fna,0.005,greedy,fastANI,True,0,0_1569,0_1569
HG799496.fna,0.005,greedy,fastANI,True,0,0_1637,0_1637
HG799497.fna,0.005,greedy,fastANI,True,0,0_1735,0_1735
HM029250.fna,0.005,greedy,fastANI,True,0,0_555,0_555
HM072038.fna,0.005,greedy,fastANI,False,0,0_1640,0_1640
HM144385.fna,0.005,greedy,fastANI,True,0,0_1891,0_1891
HM144386.fna,0.005,greedy,fastANI,True,0,0_1349,0_1349
HM144387.fna,0.005,greedy,fastANI,True,0,0_151,0_151
HM159959.fna,0.005,greedy,fastANI,True,0,0_708,0_708
HM242243.fna,0.005,greedy,fastANI,True,0,0_538,0_538
HM568888.fna,0.005,greedy,fastANI,True,0,0_1415,0_1415
HM596271.fna,0.005,greedy,fastANI,True,0,0_1700,0_1700
HM640230.fna,0.005,greedy,fastANI,True,0,0_2755,0_2755
HQ127381.fna,0.005,greedy,fastANI,False,0,0_1082,0_1082
HQ141410.fna,0.005,greedy,fastANI,True,0,0_1228,0_1228
HQ141411.fna,0.005,greedy,fastANI,True,0,0_1320,0_1320
HQ163896.fna,0.005,greedy,fastANI,False,0,0_289,0_289
HQ268735.fna,0.005,greedy,fastANI,True,0,0_765,0_765
HQ332138.fna,0.005,greedy,fastANI,True,0,0_1818,0_1818
JF731128.fna,0.005,greedy,fastANI,True,0,0_714,0_714
JF767208.fna,0.005,greedy,fastANI,True,0,0_1745,0_1745
JF767209.fna,0.005,greedy,fastANI,True,0,0_1748,0_1748
JF767210.fna,0.005,greedy,fastANI,True,0,0_1610,0_1610
JF966203.fna,0.005,greedy,fastANI,True,0,0_180,0_180
JN051154.fna,0.005,greedy,fastANI,True,0,0_1782,0_1782
JN191664.fna,0.005,greedy,fastANI,False,0,0_1280,0_1280
JN192400.fna,0.005,greedy,fastANI,True,0,0_1101,0_1101
JN192401.fna,0.005,greedy,fastANI,True,0,0_1277,0_1277
JN638751.fna,0.005,greedy,fastANI,True,0,0_1,0_1
JN654439.fna,0.005,greedy,fastANI,True,0,0_136,0_136
JN700519.fna,0.005,greedy,fastANI,True,0,0_1549,0_1549
JN700520.fna,0.005,greedy,fastANI,True,0,0_1027,0_1027
JN700521.fna,0.005,greedy,fastANI,True,0,0_1443,0_1443
JN712910.fna,0.005,greedy,fastANI,True,0,0_577,0_577
JN790865.fna,0.005,greedy,fastANI,False,0,0_73,0_73
JN797796.fna,0.005,greedy,fastANI,True,0,0_73,0_73
JN797797.fna,0.005,greedy,fastANI,True,0,0_162,0_162
JN797798.fna,0.005,greedy,fastANI,True,0,0_175,0_175
JN800508.fna,0.005,greedy,fastANI,True,0,0_2642,0_2642
JQ062992.fna,0.005,greedy,fastANI,True,0,0_1046,0_1046
JQ246028.fna,0.005,greedy,fastANI,True,0,0_918,0_918
JQ309827.fna,0.005,greedy,fastANI,True,0,0_2702,0_2702
JQ341413.fna,0.005,greedy,fastANI,True,0,0_2201,0_2201
JQ619704.fna,0.005,greedy,fastANI,True,0,0_1401,0_1401
JQ659259.fna,0.005,greedy,fastANI,True,0,0_2509,0_2509
JQ660954.fna,0.005,greedy,fastANI,True,0,0_2198,0_2198
JQ686190.fna,0.005,greedy,fastANI,False,0,0_332,0_332
JQ729990.fna,0.005,greedy,fastANI,True,0,0_2667,0_2667
JQ729991.fna,0.005,greedy,fastANI,True,0,0_2703,0_2703
JQ729992.fna,0.005,greedy,fastANI,True,0,0_2695,0_2695
JQ740787.fna,0.005,greedy,fastANI,True,0,0_2271,0_2271
JQ740788.fna,0.005,greedy,fastANI,False,0,0_2263,0_2263
JQ740789.fna,0.005,greedy,fastANI,False,0,0_2293,0_2293
JQ740790.fna,0.005,greedy,fastANI,True,0,0_2228,0_2228
JQ740791.fna,0.005,greedy,fastANI,False,0,0_2263,0_2263
JQ740792.fna,0.005,greedy,fastANI,True,0,0_2267,0_2267
JQ740793.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740794.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740795.fna,0.005,greedy,fastANI,False,0,0_2267,0_2267
JQ740796.fna,0.005,greedy,fastANI,True,0,0_2293,0_2293
JQ740797.fna,0.005,greedy,fastANI,False,0,0_2293,0_2293
JQ740798.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740799.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740800.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740801.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740802.fna,0.005,greedy,fastANI,True,0,0_2263,0_2263
JQ740803.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740804.fna,0.005,greedy,fastANI,False,0,0_2311,0_2311
JQ740805.fna,0.005,greedy,fastANI,False,0,0_2311,0_2311
JQ740806.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740807.fna,0.005,greedy,fastANI,True,0,0_2361,0_2361
JQ740808.fna,0.005,greedy,fastANI,True,0,0_2311,0_2311
JQ740809.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740810.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ740811.fna,0.005,greedy,fastANI,True,0,0_2275,0_2275
JQ740812.fna,0.005,greedy,fastANI,False,0,0_2311,0_2311
JQ740813.fna,0.005,greedy,fastANI,True,0,0_2273,0_2273
JQ740814.fna,0.005,greedy,fastANI,False,0,0_2275,0_2275
JQ779023.fna,0.005,greedy,fastANI,True,0,0_976,0_976
JQ779024.fna,0.005,greedy,fastANI,True,0,0_1082,0_1082
JQ797329.fna,0.005,greedy,fastANI,True,0,0_501,0_501
JQ957932.fna,0.005,greedy,fastANI,True,0,0_974,0_974
JQ973847.fna,0.005,greedy,fastANI,True,0,0_1368,0_1368
JX013863.fna,0.005,greedy,fastANI,True,0,0_991,0_991
JX080300.fna,0.005,greedy,fastANI,True,0,0_279,0_279
JX080301.fna,0.005,greedy,fastANI,True,0,0_384,0_384
JX080302.fna,0.005,greedy,fastANI,True,0,0_240,0_240
JX080303.fna,0.005,greedy,fastANI,True,0,0_244,0_244
JX080304.fna,0.005,greedy,fastANI,True,0,0_253,0_253
JX080305.fna,0.005,greedy,fastANI,True,0,0_255,0_255
