genome,cluster,score
JX080303.fna,0_244,1.590835441900417
JX080304.fna,0_253,2.5899987567633445
JX080305.fna,0_255,1.589528466372426
JX094431.fna,0_131,1.605180341744191
JX094501.fna,0_1224,1.3199697002675848
PP453647.fna,0_1625,2.3022590537091725
MT668624.fna,0_440,2.574023996023362
JX126919.fna,0_668,1.4118972071019948
JX126920.fna,0_671,1.4106400071964775
JX145341.fna,0_896,1.3474047340276214
JX145342.fna,0_2314,1.255351456192301
JX174275.fna,0_953,1.3366053861282556
JX193904.fna,0_1442,1.3109837318222164
JX194239.fna,0_476,1.5722893460379992
JX238501.fna,0_227,1.592819678882539
JX274646.fna,0_1137,1.3232690214682008
JX274647.fna,0_1195,2.3210928571004787
JX409894.fna,0_1332,1.3148596328058635
JX409895.fna,0_1178,1.3218755799765542
JX442241.fna,0_658,1.4185876741493462
JX486087.fna,0_1783,1.2949032268098128
JX486088.fna,0_626,1.4582133163597222
JX564242.fna,0_2338,1.2514220838311614
JX567312.fna,0_2356,1.2500495025316525
MW546075.fna,0_299,2.5841525913345498
MW546077.fna,0_468,2.572801638712984
JX878671.fna,0_353,1.580893237486423
JX879087.fna,0_1860,1.2907496010585895
KF296717.fna,0_1144,2.3187027608081867
MG656408.fna,0_235,2.5909029503331373
KC013021.fna,0_2497,1.2188160738528295
KC013022.fna,0_2498,1.218678127879461
KC013023.fna,0_2517,1.2113562413725507
KC013024.fna,0_2518,1.2103042712841838
KC013025.fna,0_2474,1.2300706456712343
KC013026.fna,0_2468,1.2318655147521467
KC013027.fna,0_2480,1.2287495643679254
KC013028.fna,0_2471,1.2311692719229996
KX578044.fna,0_2476,2.225954156006215
KC171646.fna,0_1440,1.3110261775898793
KC171647.fna,0_1679,1.2998631281271185
KC182542.fna,0_2276,1.2598498633219872
KC182543.fna,0_2441,1.238040662555
KC182544.fna,0_2488,1.2230972311604678
KC182545.fna,0_2376,1.2483852066194716
KC182546.fna,0_2339,1.2513103610215959
KC182547.fna,0_2463,1.2337441404522185
KC182548.fna,0_2369,2.2490723946599687
KC182550.fna,0_2351,1.2504074896919302
KC182551.fna,0_2427,1.2408731542441336
KC182552.fna,0_2274,1.2601518342244287
KC237729.fna,0_1659,1.3011328032563845
KC330679.fna,0_881,1.3519733389928548
KC330682.fna,0_879,2.349378107366839
KC330681.fna,0_882,2.351581694508371
KC330683.fna,0_863,1.3551830929599031
MH401415.fna,0_1119,2.321099458246281
KC348598.fna,0_2205,2.267021699776292
KC348599.fna,0_1218,2.3171601500635552
KC348600.fna,0_1720,1.2979502207523956
KC348601.fna,0_1975,1.283921960122437
KC348602.fna,0_2137,1.2730708114525173
KC348603.fna,0_867,1.3543677109864256
KC348604.fna,0_2049,1.2793359470432972
KX077890.fna,0_1919,2.2862581409453906
KC413988.fna,0_1675,1.3001979735920064
KC430106.fna,0_122,1.6065028373642414
KC481682.fna,0_33,1.6187839668572228
KC522412.fna,0_2374,1.2485125947643474
KC581799.fna,0_859,2.3506514957162996
KC595278.fna,0_1194,1.3212590142122567
KC595279.fna,0_1138,1.323248963066602
KC595511.fna,0_617,1.4619281102551844
KC595512.fna,0_450,1.5748104753305823
KC595513.fna,0_429,1.5763151631849368
KC595514.fna,0_811,2.371359397810279
KC595516.fna,0_717,1.3888487341761748
KC595517.fna,0_975,1.3342537249014397
KC595518.fna,0_960,1.33542325638262
KC685370.fna,0_2490,1.2222046037937497
KC699836.fna,0_270,1.5882120964755448
KC847113.fna,0_2473,1.230163052030706
KF010834.fna,0_1381,1.312943476721776
KF021268.fna,0_407,1.5779523133887365
KF147927.fna,0_949,1.337062325161472
KF183314.fna,0_947,1.3375230005217933
KF183315.fna,0_1121,1.3240148800122546
KF188409.fna,0_1890,1.2889188516003807
KF188410.fna,0_2171,1.270713910284031
KF188458.fna,0_2786,1.082956344542953
KF192053.fna,0_754,1.3832457864493852
KF208639.fna,0_69,1.6111191123684585
KF296718.fna,0_1691,1.2992591020326345
KF554508.fna,0_435,1.575972465826847
KF589919.fna,0_1131,1.3237148423250322
KF598856.fna,0_1044,1.3289798450230728
KF669647.fna,0_49,1.6140549648715297
KF669648.fna,0_861,1.3560169877817319
KF669649.fna,0_274,1.587463289135291
KF669651.fna,0_886,1.3511854803764423
KF669652.fna,0_156,1.602462427203791
KF669655.fna,0_1576,2.305306755292844
KF669659.fna,0_870,1.3537715885787516
KF669660.fna,0_1581,1.3051814657132517
KF669661.fna,0_628,1.4575794038774852
KF669662.fna,0_60,1.6128148167286667
KF669663.fna,0_618,1.4609940508814416
KF728385.fna,0_1327,1.3150003211500336
KF733017.fna,0_1474,1.3097545179128556
KF767351.fna,0_1751,1.2964235569529068
KF831354.fna,0_1088,1.3254791017212475
KF926093.fna,0_529,1.5595292835662367
KF929199.fna,0_582,1.4878759332675369
KJ010489.fna,0_1230,1.3196895069536594
KJ010548.fna,0_207,2.595071113360662
KJ024807.fna,0_850,1.3603378737170928
KJ081346.fna,0_127,1.6057955056373965
KJ094020.fna,0_659,1.4185230085023668
KJ094021.fna,0_661,1.4169847689580481
KJ094022.fna,0_1403,1.3122165792752258
KJ094023.fna,0_1085,1.325573389503751
MN128594.fna,0_428,2.5763530350331605
KJ127303.fna,0_784,2.377926236503429
MN172529.fna,0_478,2.5721427541174955
KJ127304.fna,0_1384,1.3127488225454917
KJ140076.fna,0_1297,1.3163193905718682
KJ159566.fna,0_1661,1.3009661642788628
MH844528.fna,0_218,2.592770961523658
OL362280.fna,0_239,2.590836981135461
KJ206563.fna,0_271,2.5881075033891214
KJ210330.fna,0_2711,1.1310501244163964
KJ417497.fna,0_1376,1.3130959216240656
KJ451625.fna,0_196,1.597030410213781
KJ452291.fna,0_1299,1.3162676099437727
KJ452292.fna,0_1168,1.322228558408471
KJ489010.fna,0_807,1.3730069179229596
KJ489011.fna,0_822,1.3692296493511198
KJ489012.fna,0_817,1.3718914433369775
KJ489013.fna,0_788,1.3774748983835021
KJ489397.fna,0_114,1.6077929819213774
KJ489398.fna,0_121,1.6065926221578302
KJ489399.fna,0_139,1.6044659349661043
KJ489400.fna,0_119,1.606838659816352
KJ489401.fna,0_129,1.6053568669820066
KJ489402.fna,0_71,1.6108485404801316
KJ528544.fna,0_2643,1.1432194125106543
KJ535721.fna,0_514,1.5652079886095276
KJ535722.fna,0_447,2.573241064549429
KJ564036.fna,0_2250,1.2629303014122057
KJ564037.fna,0_2241,1.2640924021092013
KJ564038.fna,0_2428,1.2407632007044143
KJ586795.fna,0_472,1.5725154134075172
KJ591604.fna,0_507,1.5661751214738633
KJ596420.fna,0_1229,2.319435863394133
KJ608188.fna,0_1520,1.307577074198445
KJ608189.fna,0_865,1.3545457948848925
KJ617393.fna,0_2625,1.148306815828502
KJ668715.fna,0_556,1.5324634905856551
KJ676859.fna,0_123,1.606369452025787
KJ716334.fna,0_1485,1.3092202249388278
KJ801817.fna,0_282,1.586459850806802
KJ804259.fna,0_578,1.491087528729857
KJ888149.fna,0_351,1.5810019094496384
KJ920400.fna,0_967,1.3347108771565006
KM051843.fna,0_117,1.6074410216754615
KM091442.fna,0_2299,2.254453314482065
KM091443.fna,0_2308,1.2564933493767554
KM091444.fna,0_2363,1.2497120334627043
KM216423.fna,0_391,2.5792524585577676
KM236245.fna,0_59,1.6128214250032191
KM236246.fna,0_104,1.6087350480032558
KM236247.fna,0_1603,1.3040613448546514
KM236248.fna,0_1531,1.3071886367942813
KM262191.fna,0_2452,1.2356066527305676
KM262192.fna,0_2466,1.2326280510589758
KM289195.fna,0_1787,1.2947546093551519
KM366100.fna,0_2721,1.1282615999832868
KM373208.fna,0_491,2.4850116855762656
KM514685.fna,0_642,1.44196821646156
KM677185.fna,0_525,1.561985038649404
KM882824.fna,0_2188,1.2691754891064129
KM983327.fna,0_1271,1.3174399997553916
KM983328.fna,0_1914,1.2874040223433014
KM983329.fna,0_935,2.3205857601223228
KM983330.fna,0_933,2.340770333085378
KM983331.fna,0_1754,1.2962759767437357
KM983332.fna,0_2014,1.2813523549567374
KM983334.fna,0_1755,1.2962759767437357
KP027015.fna,0_2313,1.255550180348607
KP027446.fna,0_338,1.5816756848280145
KP027447.fna,0_386,1.5795494860168944
KP054477.fna,0_564,1.5177983316231343
KP063902.fna,0_1577,2.30359083489803
KP144388.fna,0_373,1.5800680073393147
KP202972.fna,0_2021,1.280993217497937
KP208803.fna,0_1923,1.2867108757471009
KP209285.fna,0_1513,1.3080024784097177
KP296791.fna,0_1865,1.2905398194655708
MW927511.fna,0_1785,2.2928579312724557
OP503994.fna,0_1390,2.3122415856846668
KP296796.fna,0_1091,1.3253599428152292
KP339049.fna,0_256,1.5895269950804916
KP399677.fna,0_1736,1.2971203684621826
KP399678.fna,0_1465,1.3101117601425445
KP411017.fna,0_1563,1.3060299956639811
KP696447.fna,0_629,1.4569463447561795
KP696448.fna,0_623,1.4587003053890637
KP735928.fna,0_1309,1.315811407202296
KP793101.fna,0_2459,2.2333183182289633
KP793102.fna,0_2470,1.2312688719646991
KP793104.fna,0_2458,1.234583116895576
KP793105.fna,0_2457,1.234779166227066
KP793106.fna,0_2455,1.2352459554276551
KP793107.fna,0_2456,1.234944915985337
MK301437.fna,0_2378,2.245875624926308
KP793109.fna,0_2447,1.2364384775962498
KP793110.fna,0_2434,1.2392918084304028
KP793116.fna,0_2383,2.246308171564081
KP793112.fna,0_2408,1.244845227101075
KP793113.fna,0_2396,1.2463582045706159
KP793114.fna,0_2393,1.2468863352401551
KP793115.fna,0_2388,1.2473776268547798
KP793117.fna,0_2381,1.2478181311755585
KP793118.fna,0_2367,1.2493528969908967
KP793119.fna,0_2310,1.2562476999562753
KP793120.fna,0_2360,1.2498527093169063
KP793121.fna,0_2347,1.2509118807097104
KP793122.fna,0_2333,1.2519450196265032
KP793123.fna,0_2328,1.2532918672445472
KP793126.fna,0_2320,2.2539859808124665
KP793127.fna,0_2316,2.2526563608486763
KP793128.fna,0_2304,1.2566842180987177
KP793129.fna,0_2301,1.2569021485454388
KP793130.fna,0_2289,1.2585904886301202
KP793131.fna,0_2282,1.2593994827019523
KP793132.fna,0_2256,1.2621543128283879
KP793133.fna,0_2448,1.2360716684145987
KP793134.fna,0_2413,1.2443986442343133
KP881332.fna,0_498,1.568224810843497
KP893289.fna,0_1197,1.3211324523514274
KP893290.fna,0_1147,1.322882571397907
KR049063.fna,0_522,1.563556067846188
KR131750.fna,0_1399,1.312290433498743
KR153145.fna,0_2341,1.2512055686568413
KR709303.fna,0_1256,1.3182163803137885
KR816341.fna,0_2081,1.2770154087567556
MF405094.fna,0_264,2.588132250640058
KR905066.fna,0_1624,1.3031555683904146
KR905067.fna,0_1695,1.2991414571486253
KR905068.fna,0_2155,1.271727144835412
KR905069.fna,0_1631,1.3027425994915518
KR905070.fna,0_2153,1.2718606155062218
KT001911.fna,0_1558,1.3061602449376761
KT001912.fna,0_1562,1.3060354242771477
KT070866.fna,0_625,1.458294108319536
KT070867.fna,0_35,1.6185433818545611
KT070868.fna,0_771,1.3803775853065137
KT151957.fna,0_523,2.562017131346227
KT151958.fna,0_829,2.36440196553453
KT151959.fna,0_492,1.5689894944584544
KT186243.fna,0_1057,1.3278191901222742
KT187252.fna,0_148,1.60315304728742
KT207918.fna,0_82,1.6100950294191323
KT224359.fna,0_74,1.6104079737815242
KT307976.fna,0_38,1.616917935557733
KT336320.fna,0_820,2.369128975486485
KT336321.fna,0_743,2.3852996150646684
KT337339.fna,0_1412,1.3119473262705834
KT337340.fna,0_1306,1.3160396283770566
KT337341.fna,0_1191,1.3213652691992888
KT337342.fna,0_2120,1.2743057156722388
KT337352.fna,0_1316,1.3156245022134883
KT337354.fna,0_1493,1.3087167880220112
KT337355.fna,0_1419,1.3117253375422648
KT337356.fna,0_1269,1.317584174159499
KT337358.fna,0_1847,1.2914067687797273
KT337359.fna,0_2300,1.2571402598036383
KT337360.fna,0_2462,1.2339863402581033
KT337362.fna,0_2009,1.2818687143356313
KT337364.fna,0_2249,1.26307590456612
KT337365.fna,0_2227,1.265444735267581
KT337370.fna,0_2210,1.2673732661507229
KT339177.fna,0_2525,1.20263697999349
KT344895.fna,0_1179,1.3217948185656923
KT361649.fna,0_1786,2.2948107723357123
KT361651.fna,0_1055,2.3267507561916108
KT361652.fna,0_1405,1.3121796427418362
KT361656.fna,0_966,2.334277552800866
KT372714.fna,0_2085,1.2769036947284218
MW495853.fna,0_1866,2.2886703345531445
MT880872.fna,0_265,2.5845978247974295
KT429161.fna,0_1479,1.3096370862022937
KT588072.fna,0_1260,1.317990436655835
KT624200.fna,0_21,1.6780864796271069
